templateCode,sourceId,title,issueCount,failCount,reviewCount,primaryLane,risk,keepDeferred,BAD_LABEL,UI_VISIBLE_BAD_METADATA,GENERIC_FIELD_CANONICALIZATION,RAW_PATTERN_DOMAIN_MISMATCH,SOURCE_MISMATCH,SHOULD_BE_READONLY,REQUIRED_SUSPICIOUS,COMPILED_DRIFT,REMEDIATION_LEAK,WEAK_EVIDENCE_AUTO_LOCKED,nextAction
BM-001,BM-001__f4c2aa3682d3,Biên bản tiếp nhận nguồn tin về tội phạm,0,0,0,VERIFY_ONLY,LOW,false,0,0,0,0,0,0,0,0,0,0,"Keep in verification-only track: contract validate, compile sync, DB sync, and render smoke."
BM-002,BM-002__f78301178da7,Phiếu chuyển nguồn tin về tội phạm,0,0,0,VERIFY_ONLY,LOW,false,0,0,0,0,0,0,0,0,0,0,"Keep in verification-only track: contract validate, compile sync, DB sync, and render smoke."
BM-003,BM-003__bb64990bc49b,"QĐ phân công THQCT, KS việc tiếp nhận, giải quyết nguồn tin về tội phạm",7,3,4,SOURCE_POLICY,MEDIUM,false,3,3,0,0,0,1,0,0,0,0,Decide source kind and readonly/required policy; recompile and verify source-kind parity.
BM-004,BM-004__2775520fd22c,"QĐ thay đổi người THQCT, KS việc giải quyết nguồn tin",4,4,0,PATH_DOMAIN_BINDING,HIGH,false,2,0,2,0,0,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-005,BM-005__4cf240724a90,"Yêu cầu kiểm tra, xác minh nguồn tin về tội phạm",0,0,0,VERIFY_ONLY,LOW,false,0,0,0,0,0,0,0,0,0,0,"Keep in verification-only track: contract validate, compile sync, DB sync, and render smoke."
BM-006,BM-006__87ff96f9a866,"Yêu cầu tiếp nhận, kiểm tra, xác minh, ra QĐ giải quyết nguồn tin về tội phạm",0,0,0,VERIFY_ONLY,LOW,false,0,0,0,0,0,0,0,0,0,0,"Keep in verification-only track: contract validate, compile sync, DB sync, and render smoke."
BM-007,BM-007__549970d471d1,Yêu cầu cung cấp tài liệu để kiểm sát việc giải quyết nguồn tin về tội phạm,1,0,1,SOURCE_POLICY,MEDIUM,false,0,0,0,0,0,1,0,0,0,0,Decide source kind and readonly/required policy; recompile and verify source-kind parity.
BM-008,BM-008__87981f1c5cf8,Yêu cầu chuyển nguồn tin về tội phạm,0,0,0,VERIFY_ONLY,LOW,false,0,0,0,0,0,0,0,0,0,0,"Keep in verification-only track: contract validate, compile sync, DB sync, and render smoke."
BM-009,BM-009__ad542fd7bc45,QĐ gia hạn thời hạn giải quyết nguồn tin về tội phạm,2,0,2,PATH_DOMAIN_BINDING,HIGH,false,0,0,0,0,2,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-010,BM-010__3814cd2b4bcf,QĐ tạm đình chỉ giải quyết nguồn tin về tội phạm,3,0,3,PATH_DOMAIN_BINDING,HIGH,false,0,0,0,0,3,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-011,BM-011__26e6e688d223,QĐ huỷ bỏ QĐ tạm đình chỉ việc giải quyết nguồn tin về tội phạm,3,0,3,PATH_DOMAIN_BINDING,HIGH,false,0,0,0,0,2,1,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-012,BM-012__7733d5ac8e86,QĐ phục hồi giải quyết nguồn tin,0,0,0,VERIFY_ONLY,LOW,false,0,0,0,0,0,0,0,0,0,0,"Keep in verification-only track: contract validate, compile sync, DB sync, and render smoke."
BM-013,BM-013__9a1f7d37fec9,QĐ giải quyết tranh chấp về thẩm quyền giải quyết nguồn tin,11,10,1,PATH_DOMAIN_BINDING,HIGH,false,5,0,5,0,1,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-014,BM-014__ff318bb91779,"QĐ trực tiếp kiểm sát tiếp nhận, giải quyết nguồn tin về tội phạm",4,0,4,PATH_DOMAIN_BINDING,HIGH,false,0,0,0,0,3,1,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-015,BM-015__08f17df338d2,"KH trực tiếp kiểm sát việc tiếp nhận, giải quyết nguồn tin về tội phạm",0,0,0,VERIFY_ONLY,LOW,false,0,0,0,0,0,0,0,0,0,0,"Keep in verification-only track: contract validate, compile sync, DB sync, and render smoke."
BM-016,BM-016__565ec1fc2103,"KL trực tiếp kiểm sát việc tiếp nhận, giải quyết nguồn tin về tội phạm",1,0,1,SOURCE_POLICY,MEDIUM,false,0,0,0,0,0,1,0,0,0,0,Decide source kind and readonly/required policy; recompile and verify source-kind parity.
BM-017,BM-017__6b3cad999c61,Yêu cầu khởi tố vụ án hình sự,0,0,0,VERIFY_ONLY,LOW,false,0,0,0,0,0,0,0,0,0,0,"Keep in verification-only track: contract validate, compile sync, DB sync, and render smoke."
BM-018,BM-018__fe8c39468552,Yêu cầu ra QĐ thay đổi QĐ khởi tố vụ án hình sự,1,0,1,SOURCE_POLICY,MEDIUM,false,0,0,0,0,0,1,0,0,0,0,Decide source kind and readonly/required policy; recompile and verify source-kind parity.
BM-019,BM-019__3c2858f47dad,Yêu cầu ra QĐ bổ sung QĐ khởi tố vụ án hình sự,0,0,0,VERIFY_ONLY,LOW,false,0,0,0,0,0,0,0,0,0,0,"Keep in verification-only track: contract validate, compile sync, DB sync, and render smoke."
BM-020,BM-020__0f61c04c750d,"Yêu cầu ra QĐ hủy bỏ QĐ khởi tố, QĐ không khởi tố",2,0,2,PATH_DOMAIN_BINDING,HIGH,false,0,0,0,0,2,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-021,BM-021__772319486f41,QĐ không khởi tố vụ án hình sự,14,8,6,PATH_DOMAIN_BINDING,HIGH,false,3,0,3,2,0,1,1,4,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-022,BM-022__13d342bdfc56,QĐ huỷ bỏ QĐ không khởi tố vụ án hình sự,5,2,3,PATH_DOMAIN_BINDING,MEDIUM,false,0,0,0,0,2,0,2,1,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-023,BM-023__78e4f3906e4c,QĐ khởi tố vụ án hình sự,2,0,2,PATH_DOMAIN_BINDING,HIGH,false,0,0,0,0,1,1,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-024,BM-024__575a6d8e9173,QĐ thay đổi QĐ khởi tố vụ án hình sự,5,2,3,PATH_DOMAIN_BINDING,HIGH,false,1,0,1,0,0,0,1,2,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-025,BM-025__5dcf0eb7f481,QĐ bổ sung QĐ khởi tố vụ án hình sự,7,4,3,PATH_DOMAIN_BINDING,HIGH,false,1,0,1,0,2,0,1,2,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-026,BM-026__6e339663e320,QĐ huỷ bỏ QĐ khởi tố vụ án hình sự,4,2,2,PATH_DOMAIN_BINDING,MEDIUM,false,0,0,0,1,1,0,1,1,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-027,BM-027__7c207d24faee,Thông báo về việc huỷ bỏ QĐ khởi tố vụ án hình sự,8,8,0,PATH_DOMAIN_BINDING,HIGH,false,4,0,4,0,0,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-028,BM-028__e895e0889340,QĐ huỷ bỏ QĐ thay đổi QĐ khởi tố vụ án hình sự,17,14,3,PATH_DOMAIN_BINDING,HIGH,false,7,0,7,0,3,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-029,BM-029__0bf65fba614a,QĐ huỷ bỏ QĐ bổ sung QĐ khởi tố vụ án hình sự,4,4,0,PATH_DOMAIN_BINDING,HIGH,false,2,0,2,0,0,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-030,BM-030__0cfa7ae4b177,Thông báo kết quả giải quyết nguồn tin về tội phạm,1,0,1,SOURCE_POLICY,MEDIUM,false,0,0,0,0,0,1,0,0,0,0,Decide source kind and readonly/required policy; recompile and verify source-kind parity.
BM-031,BM-031__ec3276d1eebe,QĐ phê chuẩn Lệnh bắt người bị giữ trong trường hợp khẩn cấp,3,1,2,PATH_DOMAIN_BINDING,HIGH,false,0,0,0,0,2,0,0,0,0,1,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-032,BM-032__cce50086cd38,QĐ không phê chuẩn Lệnh bắt người bị giữ trong trường hợp khẩn cấp,7,4,3,PATH_DOMAIN_BINDING,HIGH,false,1,0,1,0,2,0,1,2,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-033,BM-033__51058a699877,QĐ phê chuẩn QĐ gia hạn tạm giữ,4,0,4,PATH_DOMAIN_BINDING,HIGH,false,0,0,0,0,2,1,0,1,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-034,BM-034__e02f842b6038,QĐ không phê chuẩn QĐ gia hạn tạm giữ,4,1,3,PATH_DOMAIN_BINDING,MEDIUM,false,0,0,0,1,0,0,1,2,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-035,BM-035__be0035952622,"QĐ huỷ bỏ QĐ tạm giữ, quyết định gia hạn tạm giữ",2,0,2,SOURCE_POLICY,MEDIUM,false,0,0,0,0,0,0,1,1,0,0,Decide source kind and readonly/required policy; recompile and verify source-kind parity.
BM-036,BM-036__6f4466480a94,QĐ trả tự do cho người bị tạm giữ,16,9,7,PATH_DOMAIN_BINDING,HIGH,false,2,0,2,5,0,2,2,3,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-037,BM-037__1fa31d43251e,QĐ phê chuẩn Lệnh bắt bị can để tạm giam,2,0,2,PATH_DOMAIN_BINDING,HIGH,false,0,0,0,0,2,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-038,BM-038__7a37ca9c9d8e,QĐ không phê chuẩn Lệnh bắt bị can để tạm giam,4,0,4,PATH_DOMAIN_BINDING,HIGH,false,0,0,0,0,2,1,0,1,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-039,BM-039__733f9ddd4783,Lệnh bắt bị can bị tạm giam,4,0,4,PATH_DOMAIN_BINDING,HIGH,false,0,0,0,0,2,1,0,1,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-040,BM-040__aab092911088,QĐ phê chuẩn Lệnh tạm giam,2,0,2,PATH_DOMAIN_BINDING,HIGH,false,0,0,0,0,2,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-041,BM-041__9a027eeceb3a,QĐ không phê chuẩn Lệnh tạm giam,3,1,2,PATH_DOMAIN_BINDING,MEDIUM,false,0,0,0,1,0,0,0,2,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-042,BM-042__a4da3c74d437,QĐ gia hạn tạm giam,3,0,3,PATH_DOMAIN_BINDING,HIGH,false,0,0,0,0,3,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-043,BM-043__8eab35cfeedb,QĐ huỷ bỏ biện pháp tạm giam,3,0,3,PATH_DOMAIN_BINDING,HIGH,false,0,0,0,0,3,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-044,BM-044__8552b13c78ff,QĐ thay thế biện pháp tạm giam,5,1,4,PATH_DOMAIN_BINDING,HIGH,false,0,0,0,0,2,1,0,1,0,1,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-045,BM-045__13efe0d94756,QĐ phê chuẩn QĐ về việc bảo lĩnh,4,0,4,PATH_DOMAIN_BINDING,HIGH,false,0,0,0,0,2,1,0,1,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-046,BM-046__501a15f0fbb7,QĐ không phê chuẩn QĐ về việc bảo lĩnh,3,0,3,PATH_DOMAIN_BINDING,HIGH,false,0,0,0,0,2,1,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-047,BM-047__ec7dc3448f91,QĐ về việc bảo lĩnh,3,0,3,PATH_DOMAIN_BINDING,HIGH,false,0,0,0,0,2,1,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-048,BM-048__724a5a8b3421,QĐ huỷ bỏ biện pháp bảo lĩnh,12,12,0,PATH_DOMAIN_BINDING,HIGH,false,6,0,6,0,0,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-049,BM-049__798e9b21ce2e,QĐ phê chuẩn QĐ về việc đặt tiền để bảo đảm,2,2,0,PATH_DOMAIN_BINDING,HIGH,false,1,0,1,0,0,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-050,BM-050__2d31c941887e,QĐ không phê chuẩn QĐ về việc đặt tiền để bảo đảm,4,4,0,PATH_DOMAIN_BINDING,HIGH,false,2,0,2,0,0,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-051,BM-051__594c6c63b397,QĐ về việc đặt tiền để bảo đảm,3,0,3,DOCX_AUTHORING,HIGH,false,0,0,0,0,1,0,1,1,0,0,Return to normalized/source DOCX evidence; reauthor or remap before contract mutation.
BM-052,BM-052__9919ecdb3971,QĐ huỷ bỏ biện pháp đặt tiền để bảo đảm,5,2,3,DOCX_AUTHORING,HIGH,false,1,0,1,0,1,0,1,1,0,0,Return to normalized/source DOCX evidence; reauthor or remap before contract mutation.
BM-053,BM-053__0a5a43238f28,Lệnh cấm đi khỏi nơi cư trú,2,0,2,PATH_DOMAIN_BINDING,HIGH,false,0,0,0,0,2,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-054,BM-054__71a4c9ac7e0e,Thông báo về việc áp dụng biện pháp cấm đi khỏi nơi cư trú,2,0,2,SOURCE_POLICY,MEDIUM,false,0,0,0,0,0,2,0,0,0,0,Decide source kind and readonly/required policy; recompile and verify source-kind parity.
BM-055,BM-055__b1819db1f92b,QĐ huỷ bỏ biện pháp cấm đi khỏi nơi cư trú,3,0,3,PATH_DOMAIN_BINDING,HIGH,false,0,0,0,0,3,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-056,BM-056__eea9a3391f5f,QĐ tạm hoãn xuất cảnh,2,1,1,PATH_DOMAIN_BINDING,HIGH,false,0,0,0,0,1,0,0,0,0,1,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-057,BM-057__9053c61ee677,QĐ huỷ bỏ biện pháp tạm hoãn xuất cảnh,1,0,1,PATH_DOMAIN_BINDING,HIGH,false,0,0,0,0,1,0,0,0,0,0,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
BM-058,BM-058__6de8f0022bff,Lệnh tạm giam,9,0,9,SOURCE_POLICY,MEDIUM,false,0,0,0,0,0,5,0,4,0,0,Decide source kind and readonly/required policy; recompile and verify source-kind parity.
BM-059,BM-059__4cdec41fdb1d,QĐ gia hạn thời hạn tạm giam để truy tố 1,4,1,3,PATH_DOMAIN_BINDING,HIGH,false,0,0,0,0,2,1,0,0,0,1,"Compare rawPattern, canonical path, renderBinding, visible DOCX context, and rendered value per field."
