BM,Title,Primary lane,Risk,Completion status,Root issues,FAIL,REVIEW,Quality state,Baseline findings,Render status,Next action
BM-001,Biên bản tiếp nhận nguồn tin về tội phạm,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,AUTOMATED_REVIEW_PENDING,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-002,Phiếu chuyển nguồn tin về tội phạm,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,AUTOMATED_REVIEW_PENDING,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-003,"QĐ phân công THQCT, KS việc tiếp nhận, giải quyết nguồn tin về tội phạm",VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-004,"QĐ thay đổi người THQCT, KS việc giải quyết nguồn tin",VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-005,"Yêu cầu kiểm tra, xác minh nguồn tin về tội phạm",VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-006,"Yêu cầu tiếp nhận, kiểm tra, xác minh, ra QĐ giải quyết nguồn tin về tội phạm",VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-007,Yêu cầu cung cấp tài liệu để kiểm sát việc giải quyết nguồn tin về tội phạm,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-008,Yêu cầu chuyển nguồn tin về tội phạm,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-009,QĐ gia hạn thời hạn giải quyết nguồn tin về tội phạm,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-010,QĐ tạm đình chỉ giải quyết nguồn tin về tội phạm,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-011,QĐ huỷ bỏ QĐ tạm đình chỉ việc giải quyết nguồn tin về tội phạm,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-012,QĐ phục hồi giải quyết nguồn tin,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-013,QĐ giải quyết tranh chấp về thẩm quyền giải quyết nguồn tin,VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
BM-014,"QĐ trực tiếp kiểm sát tiếp nhận, giải quyết nguồn tin về tội phạm",VERIFY_ONLY,LOW,READY_FOR_FINAL_REVIEW,0,0,0,VERIFIED,,PASS,"Keep under final verification: validate, compile, render, publish, and DB sync."
