templateCode,decision,hasLockedDiff,hasCompiledDiff,hasNormalizedDocxDiff,lockedDiffLines,compiledDiffLines,normalizedDocxSizeChange,normalizedDocxSizeChangePct,diffCategory,approvalCount,blockerStatus,c3Status,c2Status,recommendedAction,risk,notes
BM-001,COMMIT_APPROVED,true,true,false,+451/-451,+1/-1,no diff,N/A,FORMS_ROOT_CAUSE_BATCH_3,9,CLOSED_APPROVED,PASS,PASS,COMMIT_APPROVED_SET,LOW,"9 human-reviewed decisions across batch 1/2/3"
BM-002,COMMIT_APPROVED,true,true,false,+71/-71,+1/-1,no diff,N/A,FORMS_ROOT_CAUSE_BATCH_3,12,CLOSED_APPROVED,PASS,PASS,COMMIT_APPROVED_SET,LOW,"12 human-reviewed decisions across batch 1/2/3"
BM-003,COMMIT_APPROVED,true,true,false,+194/-194,+1/-1,no diff,N/A,FORMS_ROOT_CAUSE_BATCH_2_PER_FORM_REPAIR,7,CLOSED_APPROVED,PASS,PASS,COMMIT_APPROVED_SET,LOW,"2 batch + 5 per-form decisions (SKIPPED_IDEMPOTENT)"
BM-021,COMMIT_APPROVED,true,true,true,+78/-78,+1/-1,-9 bytes,-0.09%,PER_FORM_RENDER_ACCURATE,2,CLOSED_APPROVED,PASS,PASS,COMMIT_APPROVED_SET,LOW,"DOCX change is SAFE noise/CRLF"
BM-022,COMMIT_APPROVED,true,true,false,+79/-79,+1/-1,no diff,N/A,PER_FORM_RENDER_ACCURATE,2,CLOSED_APPROVED,PASS,PASS,COMMIT_APPROVED_SET,LOW,"2 decisions APPLIED"
BM-025,COMMIT_APPROVED,true,true,false,+79/-79,+1/-1,no diff,N/A,PER_FORM_RENDER_ACCURATE,2,CLOSED_APPROVED,PASS,PASS,COMMIT_APPROVED_SET,LOW,"2 decisions APPLIED"
BM-032,COMMIT_APPROVED,true,true,false,+79/-79,+1/-1,no diff,N/A,PER_FORM_RENDER_ACCURATE,2,CLOSED_APPROVED,PASS,PASS,COMMIT_APPROVED_SET,LOW,"2 decisions APPLIED"
BM-036,COMMIT_APPROVED,true,true,false,+51/-51,+1/-1,no diff,N/A,PER_FORM_RENDER_ACCURATE,1,CLOSED_APPROVED,PASS,PASS,COMMIT_APPROVED_SET,LOW,"1 decision APPLIED"
BM-052,KEEP_DIRTY,true,true,true,+227/-227,+1/-1,-56967 bytes,-83.7%,DOCX_PLACEHOLDER_RENORM_SCOPE_VIOLATION,4,LEGAL_REVIEW,PASS,PASS,KEEP_DIRTY_PENDING_LEGAL_REVIEW,HIGH,"Scope violation by render-binding-repair-v1.mjs; 84% DOCX size drop"
BM-062,KEEP_DIRTY,true,true,true,+110/-110,+1/-1,-79809 bytes,-85.9%,DOCX_PLACEHOLDER_RENORM_SCOPE_VIOLATION,3,LEGAL_REVIEW,PASS,PASS,KEEP_DIRTY_PENDING_LEGAL_REVIEW,HIGH,"Scope violation; 86% DOCX size drop"
BM-063,KEEP_DIRTY,true,true,false,+2/-2,+1/-1,no diff,N/A,UNAUTHORIZED_ROLLBACK_EVIDENCE,0,LEGAL_REVIEW,PASS,PASS,KEEP_DIRTY_PENDING_ROLLBACK,MEDIUM,"UNAUTHORIZED mutation confirmed; surgical rollback recommended"
BM-064,COMMIT_APPROVED,true,true,false,+66/-66,+1/-1,no diff,N/A,PATH_BINDING_LAYER_B,1,CLOSED_APPROVED,PASS,PASS,COMMIT_APPROVED_SET,LOW,"Layer B decision APPLIED; closure confirmed"
BM-065,COMMIT_APPROVED,true,true,false,+110/-110,+1/-1,no diff,N/A,DOCX_PATH_BINDING_DEFERRED,0,CLOSED_DEFERRED,PASS,PASS,COMMIT_APPROVED_SET,LOW,"Deferred path not applied; no blockers"
BM-066,KEEP_DIRTY,true,false,false,+2/-2,no diff,no diff,N/A,UNAUTHORIZED_ROLLBACK_EVIDENCE,0,LEGAL_REVIEW,PASS,PASS,KEEP_DIRTY_PENDING_ROLLBACK,MEDIUM,"UNAUTHORIZED mutation confirmed; surgical rollback recommended"
BM-067,COMMIT_APPROVED,true,true,false,+110/-110,+1/-1,no diff,N/A,DOCX_PATH_BINDING_DEFERRED,0,CLOSED_DEFERRED,PASS,PASS,COMMIT_APPROVED_SET,LOW,"Deferred path not applied; no blockers"
BM-073,COMMIT_APPROVED,true,true,false,+186/-186,+1/-1,no diff,N/A,PATH_BINDING_LAYER_A,4,CLOSED_APPROVED,PASS,PASS,COMMIT_APPROVED_SET,LOWEST,"4 Layer A decisions APPLIED; closure confirmed"
BM-080,COMMIT_APPROVED,true,true,false,+66/-66,+1/-1,no diff,N/A,PATH_BINDING_LAYER_B,1,CLOSED_APPROVED,PASS,PASS,COMMIT_APPROVED_SET,LOW,"Layer B decision APPLIED; closure confirmed"
BM-096,COMMIT_APPROVED,true,true,false,+22/-22,+1/-1,no diff,N/A,PER_FORM_RENDER_ACCURATE_SINGLE_CANDIDATE,2,CLOSED_APPROVED,PASS,PASS,COMMIT_APPROVED_SET,MEDIUM,"Single-candidate path relink approved; closure confirmed"
BM-167,COMMIT_APPROVED,true,true,false,+66/-66,+1/-1,no diff,N/A,FIX_F1_REVIEW_REQUIRED,1,CLOSED_APPROVED,PASS,PASS,COMMIT_APPROVED_SET,LOW,"F1 structural fix (reviewRequired cleanup)"
BM-031,INVESTIGATE,false,false,true,N/A,N/A,-63586 bytes,-76.7%,STANDALONE_DOCX_RENORMALIZATION,0,N/A,N/A,N/A,INVESTIGATE_DOCX_RENORMALIZATION,CRITICAL,"77% DOCX size drop; no locked diff; ZIP inspection required"
