file,symbol,method,path,lifecycle,calledBy,backendRouteConfirmed,risk,recommendation
apps/web/src/lib/runtime-template-preview.ts,createRuntimePreviewSession,POST,/forms/runtime/:templateCode/preview-session,runtime-template,TemplatePreviewWorkspace,YES,HIGH if JSON contract regresses; guarded content-type and persisted=false,Keep; add selector tests around runtime profile status
apps/web/src/lib/runtime-template-preview.ts,downloadRuntimePreviewDocxByUrl,GET,/forms/runtime/preview-sessions/:sessionId/docx,runtime-template,TemplatePreviewWorkspace/RuntimePdfPreview,YES,LOW binary download uses token bridge,Keep
apps/web/src/lib/runtime-template-preview.ts,fetchRuntimePreviewPdfBlob,GET,/forms/runtime/preview-sessions/:sessionId/pdf,runtime-template,RuntimePdfPreview,YES,LOW content-type guard present,Keep
apps/web/src/lib/runtime-template-export.ts,downloadRuntimeTemplateDocx,POST,/forms/runtime/:templateCode/render-docx,runtime-template,TemplatePreviewWorkspace,YES,MEDIUM older direct render path bypasses preview-session metadata,Prefer preview-session for visual UX; keep export-only
apps/web/src/lib/document-form-api.ts,getDocumentRenderPayload,GET,/documents/generated/:id/render-payload,generated-document,GeneratedDocumentWorkspace and many panels,YES,LOW typed helper uses api-client,Keep
apps/web/src/lib/document-form-api.ts,saveDocumentFormInputs,POST,/documents/generated/:id/form-inputs,generated-document,GenericTemplateFormInputsPanel and newer BM panels,YES,LOW typed helper uses api-client,Keep as canonical generated save helper
apps/web/src/lib/document-form-api.ts,patchDocumentFormInputs,PATCH,/documents/generated/:id/form-inputs,generated-document,No production caller found,NO,HIGH unsupported helper advertises missing backend route,Delete later or add backend route in API PR
apps/web/src/lib/document-form-api.ts,replaceDocumentFormInputs,PUT,/documents/generated/:id/form-inputs,generated-document,No production caller found,NO,HIGH unsupported helper advertises missing backend route,Delete later or add backend route in API PR
apps/web/src/lib/document-form-api.ts,savePublishedContractFormInputs,PUT,/documents/generated/:id/contract-form-inputs,generated-document,PublishedContractFormInputsPanel,YES,MEDIUM publishedRuntime can supersede BM-specific panel,Gate with generated-ready/published status before override
apps/web/src/lib/document-form-api.ts,saveBm031DirectFormInputs,POST,/documents/generated/:id/bm031-direct-form-inputs,generated-document,BM031 direct path,YES,MEDIUM specialized duplicate save surface,Keep isolated; do not generalize
apps/web/src/lib/document-form-api.ts,patchBm031DirectFormInputs,PATCH,/documents/generated/:id/bm031-direct-form-inputs,generated-document,No production caller found,NO,HIGH backend has POST only for bm031-direct-form-inputs,Delete later or add backend route
apps/web/src/lib/document-render-api.ts,renderDocumentDocx,POST,/documents/generated/:id/render-docx,generated-document,BM panels/action flows,YES,LOW uses readApi token bridge,Keep
apps/web/src/lib/document-render-api.ts,convertDocumentPdf,POST,/documents/generated/:id/convert-pdf,generated-document,BM panels/action flows,YES,LOW uses readApi token bridge,Keep
apps/web/src/components/documents/template-preview-workspace.tsx,readApi cases,GET,/cases?pageSize=100,runtime-template optional case import,Case picker,YES,MEDIUM runtime page reads case data but does not persist generated document,Keep; label case import as optional prefill only
apps/web/src/components/documents/bm-001-form-inputs.tsx,getBm001RenderPayload/saveBm001FormInputs,GET/POST,/documents/generated/:id/render-payload and /form-inputs,generated-document,BM_PANEL_BY_CODE BM-001,YES,MEDIUM uses BM-specific API module/local storage; existing-good UI,Keep and protect from generic/profile takeover
apps/web/src/components/documents/bm-171-form-inputs.tsx,buildGeneratedDocumentSavePayload/gateGeneratedDocumentSave + saveDocumentFormInputs,GET/POST,/documents/generated/:id/render-payload and /form-inputs,generated-document,BM_PANEL_BY_CODE BM-171,YES,LOW profile-driven ready path,Keep; ensure PR-A guard does not disable runtime-ready BM-171
apps/web/src/components/documents/bm-0xx-form-inputs.tsx raw fetch family,per-BM raw fetch,GET/POST,/documents/generated/:id/render-payload and /form-inputs,generated-document,Many legacy BM panels,YES,HIGH bypasses typed helper consistency and relies on fetch default patch for token bridge,Deprecate later; migrate to document-form-api
apps/web/src/lib/bm001-form-inputs-api.ts,readApi local + fetch download,GET/POST,/documents/generated/:id/render-payload and render/download paths,generated-document,BM001 panel helper,PARTIAL,HIGH local readApi duplicates central api-client and uses credentials include,Wrap with central api-client later; do not remove before BM-001 tests
apps/web/src/lib/bm090-form-inputs-api.ts,readApi local + fetch,GET/POST,/documents/generated/:id/render-payload and form paths,generated-document,BM090 panel helper,PARTIAL,HIGH duplicate API client,Deprecate later
apps/web/src/lib/bm097-form-inputs-api.ts,readApi local + fetch,GET/POST,/documents/generated/:id/render-payload and form paths,generated-document,BM097 panel helper,PARTIAL,HIGH duplicate API client,Deprecate later
apps/web/src/lib/bm053-form-inputs-api.ts,readApi local,GET/POST,/documents/generated/:id/render-payload and form paths,generated-document,BM053 panel helper,PARTIAL,MEDIUM duplicate API client,Deprecate later
apps/web/src/lib/bm156-form-inputs-api.ts,readApi local,GET,/documents/generated/:id/render-payload,generated-document,BM156 panel helper,PARTIAL,MEDIUM duplicate API client,Deprecate later
