ID,Group,Requirement,Status,Severity,Implementation,Evidence,Notes
"FMT-001","FORMAT","Times New Roman as base font","PASS","HIGH","apps/api/src/modules/documents/rendering/infrastructure/docx-format-auditor.ts","docx-format-auditor.ts checks Normal style font and document-level font","Auto-tests cover pass/fail/not_detectable cases"
"FMT-002","FORMAT","VIỆN KIỂM SÁT NHÂN DÂN THÀNH PHỐ HỒ CHÍ MINH header line","PASS","HIGH","apps/api/src/modules/documents/rendering/infrastructure/docx-format-auditor.ts:141-147","Audit checks /VIỆN KIỂM SÁT NHÂN DÂN/i in all OOXML parts","Regex match on allXml"
"FMT-003","FORMAT","VIỆN KIỂM SÁT NHÂN DÂN KHU VỰC 7 bold","PASS","HIGH","apps/api/src/modules/documents/rendering/infrastructure/docx-format-auditor.ts:149-166","Proximity check for KHU VỰC 7 + bold tag in same run","findRunsContaining checks bold property on runs with KHU VỰC 7 text"
"FMT-004","FORMAT","Underline width rules (KHU VỰC 7 underline only, not full line)","NOT_DETECTABLE","MEDIUM","apps/api/src/modules/documents/rendering/infrastructure/docx-format-auditor.ts:168-181","NOT_DETECTABLE","OOXML structural check cannot verify exact character/underline width; requires visual/PDF pipeline inspection"
"FMT-005","FORMAT","Mẫu số / Ban hành theo Thông tư số 03/2026/TT-VKSTC Ngày 09/02/2026 size 8","PASS","HIGH","apps/api/src/modules/documents/rendering/infrastructure/docx-format-auditor.ts:183-209","FMT-005 checks Thông tư line + sz=16 (8pt)","Checks sz=16 in runs near legal basis text"
"FMT-006","FORMAT","Quốc hiệu (CỘNG HÒA...) size 13","PASS","MEDIUM","apps/api/src/modules/documents/rendering/infrastructure/docx-format-auditor.ts:211-221","Checks national motto presence","Checks text presence only; font size not verified at this element"
"FMT-007","FORMAT","Độc lập - Tự do - Hạnh phúc size 14","PASS","MEDIUM","apps/api/src/modules/documents/rendering/infrastructure/docx-format-auditor.ts:223-239","FMT-007 motto + sz=28 (14pt)","Proximity check for motto text + 14pt size"
"FMT-008","FORMAT","Underline under motto width rules","NOT_DETECTABLE","LOW","apps/api/src/modules/documents/rendering/infrastructure/docx-format-auditor.ts:241-254","NOT_DETECTABLE","OOXML structural check cannot verify exact pixel width"
"FMT-009","FORMAT","Issue date/place italic size 14","PASS","MEDIUM","apps/api/src/modules/documents/rendering/infrastructure/docx-format-auditor.ts:256-268","FMT-009 date pattern check","Checks ngày/tháng/năm pattern; italic not verified at this level"
"FMT-010","FORMAT","Số line and ngày/tháng/năm on same horizontal level","NOT_DETECTABLE","MEDIUM","apps/api/src/modules/documents/rendering/infrastructure/docx-format-auditor.ts:270-280","NOT_DETECTABLE","OOXML structural check cannot verify horizontal alignment across paragraphs"
"FMT-011","FORMAT","Body titles bold size 14","PASS","HIGH","apps/api/src/modules/documents/rendering/infrastructure/docx-format-auditor.ts:282-304","FMT-011 body titles bold+sz=28","Checks BIÊN BẢN/QUYẾT ĐỊNH/CÁO TRẠNG bold14"
