route,method,current_protection,required_protection,gap,expected_roles,agency_filter,audit_log,data_sensitivity,export_permission
/api/v1/auth/login,POST,@Public(),PUBLIC,OK,-,-,LOW,N/A
/api/v1/auth/logout,POST,@Public(),PUBLIC,OK,-,-,LOW,N/A
/api/v1/auth/me,GET,@Public(),AUTHENTICATED,OK,ALL,-,LOW,N/A
/api/v1/auth/users,GET,AUTHENTICATED,AUTHENTICATED,OK,ALL,-,MEDIUM,N/A
/api/v1/auth/agency,GET,AUTHENTICATED,AUTHENTICATED,OK,ALL,-,MEDIUM,N/A
/api/v1/auth/change-password,POST,AUTHENTICATED,AUTHENTICATED,OK,ALL,-,MEDIUM,N/A
/api/v1/cases,GET,AUTHENTICATED,AUTHENTICATED,GAP_NO_AGENCY_FILTER,ALL,MISSING,UNKNOWN,HIGH,N/A
/api/v1/cases/reports/summary,GET,AUTHENTICATED,AUTHENTICATED,GAP_NO_AGENCY_FILTER,ALL,MISSING,UNKNOWN,HIGH,N/A
/api/v1/cases,POST,AUTHENTICATED,AUTHENTICATED,OK,ALL,OK,UNKNOWN,HIGH,N/A
/api/v1/cases/:id,GET,AUTHENTICATED,AUTHENTICATED,GAP_NO_AGENCY_FILTER,ALL,MISSING,UNKNOWN,HIGH,N/A
/api/v1/cases/:id,PATCH,AUTHENTICATED,AUTHENTICATED,GAP_NO_AGENCY_FILTER,ALL,MISSING,UNKNOWN,HIGH,N/A
/api/v1/documents/generated/:id/render-payload,GET,AUTHENTICATED,AUTHENTICATED,GAP_NO_AGENCY_CHECK,ALL,MISSING,UNKNOWN,HIGH,N/A
/api/v1/documents/generated/:id/pre-export-config,GET,AUTHENTICATED,AUTHENTICATED,GAP_NO_AGENCY_CHECK,ALL,MISSING,UNKNOWN,HIGH,N/A
/api/v1/documents/generated/:id/pre-export-config,PUT,AUTHENTICATED,AUTHENTICATED,GAP_NO_AGENCY_CHECK,ALL,MISSING,UNKNOWN,HIGH,N/A
/api/v1/documents/generated/:id/pre-export-config/scan-blanks,POST,AUTHENTICATED,AUTHENTICATED,GAP_NO_AGENCY_CHECK,ALL,MISSING,UNKNOWN,HIGH,N/A
/api/v1/documents/generated/:id/form-inputs,POST,AUTHENTICATED,AUTHENTICATED,GAP_NO_AGENCY_CHECK,GAP_NO_AUDIT_LOG,ALL,MISSING,MISSING,HIGH,N/A
/api/v1/documents/generated/:id/render-docx,POST,AUTHENTICATED,AUTHENTICATED,GAP_NO_AGENCY_CHECK,GAP_NO_AUDIT_LOG,GAP_NO_EXPORT_HISTORY,ALL,MISSING,MISSING,HIGH,YES
/api/v1/documents/generated/:id/convert-pdf,POST,AUTHENTICATED,AUTHENTICATED,GAP_NO_AGENCY_CHECK,GAP_NO_AUDIT_LOG,GAP_NO_EXPORT_HISTORY,ALL,MISSING,MISSING,HIGH,YES
/api/v1/documents/generated/:id/files/:fileId/download,GET,AUTHENTICATED,AUTHENTICATED,GAP_NO_AGENCY_CHECK,GAP_NO_AUDIT_LOG,GAP_NO_EXPORT_HISTORY,ALL,MISSING,MISSING,CRITICAL,YES
/api/v1/documents/generated/:id/files/:fileId,DELETE,AUTHENTICATED,AUTHENTICATED,GAP_NO_AGENCY_CHECK,ALL,MISSING,UNKNOWN,CRITICAL,N/A
/api/v1/documents/generated/:id/files/bulk-delete,POST,AUTHENTICATED,AUTHENTICATED,GAP_NO_AGENCY_CHECK,ALL,MISSING,UNKNOWN,CRITICAL,N/A
/api/v1/documents/generated/:id/files/cleanup,POST,AUTHENTICATED,AUTHENTICATED,GAP_NO_AGENCY_CHECK,ALL,MISSING,UNKNOWN,HIGH,N/A
/api/v1/admin/form-templates,GET,FORM_TEMPLATE_EDIT,FORM_EDITOR,OK,FORM_EDITOR,-,NO,MEDIUM,N/A
/api/v1/admin/form-templates,POST,FORM_TEMPLATE_EDIT,FORM_EDITOR,OK,FORM_EDITOR,-,UNKNOWN,MEDIUM,N/A
/api/v1/admin/form-templates/:id/open-design,POST,FORM_TEMPLATE_EDIT,FORM_EDITOR,OK,FORM_EDITOR,-,NO,MEDIUM,N/A
/api/v1/admin/form-drafts/:id,GET,FORM_TEMPLATE_EDIT,FORM_EDITOR,OK,FORM_EDITOR,-,NO,MEDIUM,N/A
/api/v1/admin/form-drafts/:id,PATCH,FORM_TEMPLATE_EDIT,FORM_EDITOR,OK,FORM_EDITOR,-,UNKNOWN,MEDIUM,N/A
/api/v1/admin/form-drafts/:id,DELETE,FORM_TEMPLATE_EDIT,FORM_EDITOR,OK,FORM_EDITOR,-,UNKNOWN,MEDIUM,N/A
/api/v1/admin/form-drafts/:id/validate,POST,FORM_TEMPLATE_EDIT,FORM_EDITOR,OK,FORM_EDITOR,-,NO,MEDIUM,N/A
/api/v1/admin/form-drafts/:id/preview,POST,FORM_TEMPLATE_EDIT,FORM_EDITOR,OK,FORM_EDITOR,-,NO,MEDIUM,N/A
/api/v1/admin/form-drafts/:id/submit-review,POST,FORM_TEMPLATE_EDIT,FORM_EDITOR,OK,FORM_EDITOR,-,YES,MEDIUM,N/A
/api/v1/admin/form-reviews/:id,GET,FORM_TEMPLATE_APPROVE,FORM_APPROVER,OK,FORM_APPROVER,-,NO,MEDIUM,N/A
/api/v1/admin/form-reviews/:id/request-changes,POST,FORM_TEMPLATE_APPROVE,FORM_APPROVER,OK,FORM_APPROVER,-,YES,MEDIUM,N/A
/api/v1/admin/form-reviews/:id/approve,POST,FORM_TEMPLATE_APPROVE,FORM_APPROVER,GAP_NO_SELF_APPROVAL,FORM_APPROVER,-,YES,HIGH,N/A
/api/v1/admin/form-versions/:id/publish,POST,FORM_TEMPLATE_APPROVE,FORM_APPROVER,OK,FORM_APPROVER,-,YES,HIGH,N/A
/api/v1/admin/form-versions/:id/archive,POST,FORM_TEMPLATE_APPROVE,FORM_APPROVER,OK,FORM_APPROVER,-,YES,HIGH,N/A
/api/v1/admin/form-permissions,GET,FORM_TEMPLATE_PERMISSION_ADMIN,PERMISSION_ADMIN,OK,PERMISSION_ADMIN,PARTIAL,PARTIAL,CRITICAL,N/A
/api/v1/admin/form-permissions,POST,FORM_TEMPLATE_PERMISSION_ADMIN,PERMISSION_ADMIN,OK,PERMISSION_ADMIN,PARTIAL,YES,CRITICAL,N/A
/api/v1/admin/form-permissions/:id,DELETE,FORM_TEMPLATE_PERMISSION_ADMIN,PERMISSION_ADMIN,OK,PERMISSION_ADMIN,PARTIAL,YES,CRITICAL,N/A
/api/v1/admin/form-preview-jobs/:id,GET,FORM_TEMPLATE_EDIT,FORM_EDITOR,OK,FORM_EDITOR,-,NO,MEDIUM,N/A
/api/v1/admin/form-preview-jobs/:id/file,GET,FORM_TEMPLATE_EDIT,FORM_EDITOR,OK,FORM_EDITOR,-,NO,MEDIUM,YES
/api/v1/forms/runtime/:templateCode,GET,AUTHENTICATED,AUTHENTICATED,GAP_NO_AGENCY_CHECK,ALL,MISSING,NO,MEDIUM,N/A
/api/v1/form-platform/catalog,GET,AUTHENTICATED,AUTHENTICATED,OK,ALL,OK,NO,LOW,N/A
/api/v1/form-platform/catalog/:code,GET,AUTHENTICATED,AUTHENTICATED,OK,ALL,OK,NO,LOW,N/A
/api/v1/templates/groups,GET,AUTHENTICATED,AUTHENTICATED,OK,ALL,-,NO,MEDIUM,N/A
/api/v1/templates,GET,AUTHENTICATED,AUTHENTICATED,OK,ALL,-,NO,MEDIUM,N/A
/api/v1/templates/mine,GET,AUTHENTICATED,AUTHENTICATED,OK,ALL,-,NO,MEDIUM,N/A
/api/v1/templates/:id,GET,AUTHENTICATED,AUTHENTICATED,OK,ALL,-,NO,MEDIUM,N/A
/api/v1/ready,GET,@Public(),PUBLIC,OK,-,-,LOW,N/A
