role,permission,default,route_api_usage,agency_scoped,audit_event,high_risk,enforcement_rule
SYSTEM_ADMIN,case:read,ALLOW,GET /cases,YES,NO,HIGH,db_guard
SYSTEM_ADMIN,case:create,ALLOW,POST /cases,YES,YES,HIGH,db_guard
SYSTEM_ADMIN,case:update,ALLOW,PATCH /cases/:id,YES,YES,HIGH,db_guard
SYSTEM_ADMIN,case:archive,ALLOW,PATCH /cases/:id/archive,YES,YES,HIGH,db_guard
SYSTEM_ADMIN,document:read,ALLOW,GET /documents,YES,NO,HIGH,db_guard
SYSTEM_ADMIN,document:create,ALLOW,POST /documents,YES,YES,HIGH,db_guard
SYSTEM_ADMIN,document:update,ALLOW,PUT /documents/:id,YES,YES,HIGH,db_guard
SYSTEM_ADMIN,document:save-form-inputs,ALLOW,POST /documents/:id/form-inputs,YES,YES,HIGH,db_guard
SYSTEM_ADMIN,document:export-docx,ALLOW,POST /documents/:id/render-docx,YES,YES,HIGH,db_guard
SYSTEM_ADMIN,document:export-pdf,ALLOW,POST /documents/:id/convert-pdf,YES,YES,HIGH,db_guard
SYSTEM_ADMIN,document:view-export-history,ALLOW,GET /documents/:id/exports,YES,NO,HIGH,db_guard
SYSTEM_ADMIN,template:read-published,ALLOW,GET /templates,YES,NO,MEDIUM,db_guard
SYSTEM_ADMIN,template:edit-draft,ALLOW,PATCH /admin/form-drafts/:id,YES,YES,HIGH,db_guard
SYSTEM_ADMIN,template:submit-review,ALLOW,POST /admin/form-drafts/:id/submit-review,YES,YES,HIGH,db_guard
SYSTEM_ADMIN,template:approve,ALLOW,POST /admin/form-reviews/:id/approve,YES,YES,HIGH,db_guard
SYSTEM_ADMIN,template:publish,ALLOW,POST /admin/form-versions/:id/publish,YES,YES,HIGH,db_guard
SYSTEM_ADMIN,template:rollback,ALLOW,POST /admin/form-versions/:id/archive,YES,YES,HIGH,db_guard
SYSTEM_ADMIN,form-studio:access,ALLOW,GET /admin/form-studio,NO,NO,HIGH,db_guard
SYSTEM_ADMIN,permission:manage,ALLOW,POST /admin/form-permissions,YES,YES,HIGH,db_guard
SYSTEM_ADMIN,report:read,ALLOW,GET /cases/reports/summary,YES,NO,MEDIUM,db_guard
SYSTEM_ADMIN,audit:read,ALLOW,GET /admin/audit-logs,YES,NO,MEDIUM,db_guard
SYSTEM_ADMIN,agency:manage,ALLOW,PATCH /admin/agencies/:id,YES,YES,HIGH,db_guard
SYSTEM_ADMIN,user:invite,ALLOW,POST /admin/users/invite,YES,YES,HIGH,db_guard
SYSTEM_ADMIN,user:disable,ALLOW,PATCH /admin/users/:id/disable,YES,YES,HIGH,db_guard
PERMISSION_ADMIN,case:read,ALLOW,GET /cases,YES,NO,MEDIUM,db_guard
PERMISSION_ADMIN,document:read,ALLOW,GET /documents,YES,NO,MEDIUM,db_guard
PERMISSION_ADMIN,document:view-export-history,ALLOW,GET /documents/:id/exports,YES,NO,MEDIUM,db_guard
PERMISSION_ADMIN,template:read-published,ALLOW,GET /templates,YES,NO,MEDIUM,db_guard
PERMISSION_ADMIN,permission:manage,ALLOW,POST /admin/form-permissions,YES,YES,HIGH,db_guard
PERMISSION_ADMIN,report:read,ALLOW,GET /cases/reports/summary,YES,NO,MEDIUM,db_guard
PERMISSION_ADMIN,user:invite,ALLOW,POST /admin/users/invite,YES,YES,HIGH,db_guard
PERMISSION_ADMIN,user:disable,ALLOW,PATCH /admin/users/:id/disable,YES,YES,HIGH,db_guard
FORM_EDITOR,case:read,ALLOW,GET /cases,YES,NO,MEDIUM,db_guard
FORM_EDITOR,document:read,ALLOW,GET /documents,YES,NO,MEDIUM,db_guard
FORM_EDITOR,document:view-export-history,ALLOW,GET /documents/:id/exports,YES,NO,MEDIUM,db_guard
FORM_EDITOR,template:read-published,ALLOW,GET /templates,YES,NO,LOW,db_guard
FORM_EDITOR,template:edit-draft,ALLOW,PATCH /admin/form-drafts/:id,YES,YES,HIGH,db_guard
FORM_EDITOR,template:submit-review,ALLOW,POST /admin/form-drafts/:id/submit-review,YES,YES,HIGH,db_guard
FORM_EDITOR,form-studio:access,ALLOW,GET /admin/form-studio,NO,NO,HIGH,db_guard
FORM_APPROVER,case:read,ALLOW,GET /cases,YES,NO,MEDIUM,db_guard
FORM_APPROVER,document:read,ALLOW,GET /documents,YES,NO,MEDIUM,db_guard
FORM_APPROVER,document:view-export-history,ALLOW,GET /documents/:id/exports,YES,NO,MEDIUM,db_guard
FORM_APPROVER,template:read-published,ALLOW,GET /templates,YES,NO,LOW,db_guard
FORM_APPROVER,template:approve,ALLOW,POST /admin/form-reviews/:id/approve,YES,YES,HIGH,db_guard_and_self_approval_check
OFFICIAL,case:read,ALLOW,GET /cases,YES,NO,MEDIUM,db_guard
OFFICIAL,case:create,ALLOW,POST /cases,YES,YES,HIGH,db_guard
OFFICIAL,case:update,ALLOW,PATCH /cases/:id,YES,YES,HIGH,db_guard
OFFICIAL,document:read,ALLOW,GET /documents,YES,NO,MEDIUM,db_guard
OFFICIAL,document:create,ALLOW,POST /documents,YES,YES,HIGH,db_guard
OFFICIAL,document:update,ALLOW,PUT /documents/:id,YES,YES,HIGH,db_guard
OFFICIAL,document:save-form-inputs,ALLOW,POST /documents/:id/form-inputs,YES,YES,HIGH,db_guard
OFFICIAL,document:export-docx,ALLOW,POST /documents/:id/render-docx,YES,YES,HIGH,db_guard
OFFICIAL,document:export-pdf,ALLOW,POST /documents/:id/convert-pdf,YES,YES,HIGH,db_guard
OFFICIAL,document:view-export-history,ALLOW,GET /documents/:id/exports,YES,NO,HIGH,db_guard
OFFICIAL,template:read-published,ALLOW,GET /templates,YES,NO,LOW,db_guard
REPORT_VIEWER,template:read-published,ALLOW,GET /templates,YES,NO,LOW,db_guard
REPORT_VIEWER,report:read,ALLOW,GET /cases/reports/summary,YES,NO,MEDIUM,db_guard
AUDITOR,audit:read,ALLOW,GET /admin/audit-logs,YES,NO,MEDIUM,db_guard
READ_ONLY,case:read,ALLOW,GET /cases,YES,NO,MEDIUM,db_guard
READ_ONLY,document:read,ALLOW,GET /documents,YES,NO,MEDIUM,db_guard
READ_ONLY,template:read-published,ALLOW,GET /templates,YES,NO,LOW,db_guard
