templateCode,fieldKey,fieldLabel,required,dataSourceKind,classification,isSystemKind,reason
BM-001,"document.issuePlaceDateLine","Địa điểm, ngày lập",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Label ""Địa điểm, ngày lập"" matches safe document place/date pattern"
BM-001,"informant.birthDay","Ngày sinh",true,MANUAL,NEVER_AUTO,false,"Label ""Ngày sinh"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-001,"informant.birthMonth","Tháng sinh",true,MANUAL,NEVER_AUTO,false,"Path ""informant.birthMonth"" starts with NEVER_AUTO path prefix"
BM-001,"informant.birthYear","Năm sinh",true,MANUAL,NEVER_AUTO,false,"Path ""informant.birthYear"" starts with NEVER_AUTO path prefix"
BM-001,"informant.identityIssuedDay","Ngày cấp",true,MANUAL,NEVER_AUTO,false,"Label ""Ngày cấp"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-001,"reception.endedAtDay","Ngày kết thúc tiếp nhận",true,MANUAL,NEVER_AUTO,false,"Label ""Ngày kết thúc tiếp nhận"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-001,"reception.startedAtDay","Ngày bắt đầu tiếp nhận",true,MANUAL,NEVER_AUTO,false,"Label ""Ngày bắt đầu tiếp nhận"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-002,"document.issuePlaceAndDateLine","Địa điểm, ngày tháng năm",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Label ""Địa điểm, ngày tháng năm"" matches safe document place/date pattern"
BM-002,"reporter.birthDateLine","Sinh ngày",true,SYSTEM,NEVER_AUTO,true,"Label ""Sinh ngày"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-002,"reporter.birthPlace","Nơi sinh",true,MANUAL,NEVER_AUTO,false,"Path ""reporter.birthPlace"" starts with NEVER_AUTO path prefix"
BM-002,"sourceReport.receivedDateLine","Ngày tiếp nhận",true,SYSTEM,NEVER_AUTO,true,"Label ""Ngày tiếp nhận"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-003,"document.issuePlaceAndDateLine","Địa điểm, ngày lập văn bản",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Label ""Địa điểm, ngày lập văn bản"" matches safe document place/date pattern"
BM-005,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-006,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-007,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-008,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-009,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-010,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-010,"sourceSuspension.receivedDateLine","Ngày tiếp nhận nguồn tin",true,SYSTEM,NEVER_AUTO,true,"Label ""Ngày tiếp nhận nguồn tin"" matches NEVER_AUTO pattern (birth/incident/detention date)"
BM-011,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-012,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-012,"sourceRecovery.suspensionDecisionIssueDateLine","Ngày quyết định tạm đình chỉ",true,SYSTEM,REVIEW_REQUIRED,true,"Label ""Ngày quyết định tạm đình chỉ"" ambiguous — requires manual review"
BM-013,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_DOCUMENT_DATE_PART,false,"Label ""Ngày ban hành"" matches safe document date-part pattern"
BM-014,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-015,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-016,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
BM-017,"document.issuePlaceAndDateLine","Địa danh, ngày ban hành",true,SYSTEM,SAFE_DOCUMENT_PLACE_DATE,true,"Path ""document.issuePlaceAndDateLine"" starts with safe document path prefix"
