method,route,controller,handler,module,auth_guard,dto_or_body,response_type,binary_or_json,writes_db,tables_written,audit_log_action,runtime_or_generated,uses_contract_renderer,uses_legacy_renderer,uses_pdf_conversion,frontend_callers,risk_level,notes
GET,/,AppController,getHello,AppModule,Global AuthGuard unless public,None,string,json,NO,,NONE,unknown,NO,NO,NO,unknown,LOW,Health/root utility
GET,/health,AppController,getHealth,AppModule,Global AuthGuard unless public,None,json,json,NO,,NONE,unknown,NO,NO,NO,unknown,LOW,Health utility
GET,/ready,HealthController,ready,HealthModule,Global AuthGuard unless public,None,json,json,NO,,NONE,unknown,NO,NO,NO,unknown,LOW,Readiness utility
GET,/templates/groups,TemplatesController,getGroups,TemplatesModule,Global AuthGuard unless public,None,json,json,NO,,NONE,template,NO,NO,NO,template selector,LOW,Template catalog read
GET,/templates,TemplatesController,findAll,TemplatesModule,Global AuthGuard unless public,query,json,json,NO,,NONE,template,NO,NO,NO,template selector,LOW,Template list read
GET,/templates/mine,TemplatesController,findMine,TemplatesModule,Global AuthGuard unless public,query/json,json,json,NO,,NONE,template,NO,NO,NO,template selector,LOW,User scoped templates
GET,/templates/:id,TemplatesController,findOne,TemplatesModule,Global AuthGuard unless public,param,json,json,NO,,NONE,template,NO,NO,NO,template detail,LOW,Template read
POST,/templates/versions/:versionId/normalize-docx,TemplateNormalizerController,normalizeVersion,TemplatesModule,Global AuthGuard unless public,param,json,json,YES,template_versions/stored_files,NONE,template,NO,NO,NO,admin tooling,HIGH,Mutates normalized DOCX metadata/path; do not run in audit
POST,/templates/normalize-mvp-docx,TemplateNormalizerController,normalizeMvp,TemplatesModule,Global AuthGuard unless public,body,json,json,YES,template_versions/stored_files,NONE,template,NO,NO,NO,admin tooling,HIGH,Normalization workflow; out of audit execution scope
GET,/documents/generated/:id/bm031-direct-render-payload,Bm031DirectController,getDirectRenderPayload,Bm031DirectModule,Global AuthGuard unless public,param,json,json,NO,,NONE,generated,NO,YES,NO,bm-031 panel,HIGH,BM-specific direct payload path duplicates standard render-payload
